Region,Year,Median Sale Price,Inventory,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Atlanta, GA",2018,283583.3333333333,3591.0,3.908333333333333,4.539041666666667,277.0833333333333,2.405146988939928
"Atlanta, GA",2019,303666.6666666667,4662.416666666667,5.058333333333334,3.93375,316.5833333333333,1.8853359533243301
"Atlanta, GA",2020,338166.6666666667,4316.083333333333,4.641666666666667,3.1136666666666666,257.0,1.1989341730799892
"Atlanta, GA",2021,370500.0,2932.3333333333335,2.6666666666666665,2.9557083333333334,347.8333333333333,4.6296959074266555
"Atlanta, GA",2022,407166.6666666667,2668.5833333333335,3.4333333333333336,5.327500000000001,401.75,7.972036655476909
"Atlanta, GA",2023,404875.0,2735.875,4.075,6.5584375,352.125,4.473023612158999
"Lakeville, MN",2018,352416.6666666667,263.3333333333333,2.516666666666666,4.539041666666667,277.0833333333333,2.405146988939928
"Lakeville, MN",2019,370416.6666666667,249.75,2.3416666666666672,3.93375,316.5833333333333,1.8853359533243301
"Lakeville, MN",2020,393750.0,216.83333333333334,1.8333333333333333,3.1136666666666666,257.0,1.1989341730799892
"Lakeville, MN",2021,436583.3333333333,133.58333333333334,0.9999999999999999,2.9557083333333334,347.8333333333333,4.6296959074266555
"Lakeville, MN",2022,482000.0,216.16666666666666,2.0166666666666666,5.327500000000001,401.75,7.972036655476909
"Lakeville, MN",2023,481375.0,218.375,2.4250000000000003,6.5584375,352.125,4.473023612158999
"Marietta, GA",2018,283250.0,492.5,2.8833333333333333,4.539041666666667,277.0833333333333,2.405146988939928
"Marietta, GA",2019,299416.6666666667,477.9166666666667,2.841666666666667,3.93375,316.5833333333333,1.8853359533243301
"Marietta, GA",2020,318500.0,375.5833333333333,2.3083333333333336,3.1136666666666666,257.0,1.1989341730799892
"Marietta, GA",2021,366333.3333333333,208.41666666666666,1.1583333333333332,2.9557083333333334,347.8333333333333,4.6296959074266555
"Marietta, GA",2022,416416.6666666667,236.58333333333334,1.7750000000000001,5.327500000000001,401.75,7.972036655476909
"Marietta, GA",2023,425875.0,211.75,1.7750000000000001,6.5584375,352.125,4.473023612158999
"Minneapolis, MN",2018,267416.6666666667,1104.0,1.7249999999999999,4.539041666666667,277.0833333333333,2.405146988939928
"Minneapolis, MN",2019,286583.3333333333,1129.75,1.75,3.93375,316.5833333333333,1.8853359533243301
"Minneapolis, MN",2020,305500.0,1193.3333333333333,1.7249999999999999,3.1136666666666666,257.0,1.1989341730799892
"Minneapolis, MN",2021,326166.6666666667,1162.5833333333333,1.5416666666666667,2.9557083333333334,347.8333333333333,4.6296959074266555
"Minneapolis, MN",2022,332750.0,1079.3333333333333,1.8083333333333333,5.327500000000001,401.75,7.972036655476909
"Minneapolis, MN",2023,330125.0,888.0,1.825,6.5584375,352.125,4.473023612158999
"St. Charles, MO",2018,213166.66666666666,278.8333333333333,2.35,4.539041666666667,277.0833333333333,2.405146988939928
"St. Charles, MO",2019,234666.66666666666,199.0,1.6916666666666667,3.93375,316.5833333333333,1.8853359533243301
"St. Charles, MO",2020,247000.0,135.25,1.1249999999999998,3.1136666666666666,257.0,1.1989341730799892
"St. Charles, MO",2021,272166.6666666667,82.83333333333333,0.6166666666666668,2.9557083333333334,347.8333333333333,4.6296959074266555
"St. Charles, MO",2022,305666.6666666667,75.83333333333333,0.7583333333333333,5.327500000000001,401.75,7.972036655476909
"St. Charles, MO",2023,327375.0,88.125,0.9125,6.5584375,352.125,4.473023612158999
"St. Louis, MO",2018,154416.66666666666,1632.0833333333333,3.408333333333333,4.539041666666667,277.0833333333333,2.405146988939928
"St. Louis, MO",2019,164916.66666666666,1329.75,2.7916666666666665,3.93375,316.5833333333333,1.8853359533243301
"St. Louis, MO",2020,179750.0,1037.4166666666667,2.091666666666667,3.1136666666666666,257.0,1.1989341730799892
"St. Louis, MO",2021,198333.33333333334,899.5833333333334,1.5666666666666667,2.9557083333333334,347.8333333333333,4.6296959074266555
"St. Louis, MO",2022,207666.66666666666,821.25,1.6666666666666667,5.327500000000001,401.75,7.972036655476909
"St. Louis, MO",2023,220250.0,805.375,1.9125000000000003,6.5584375,352.125,4.473023612158999
