DATE,Total Construction Spend,Employee
1/1/2018,577668,776.7
2/1/2018,583275,785.2
3/1/2018,578850,787.9
4/1/2018,580582,792.9
5/1/2018,583912,798.1
6/1/2018,575560,802.2
7/1/2018,566435,803
8/1/2018,556962,802.1
9/1/2018,556838,803.8
10/1/2018,542596,803.4
11/1/2018,544806,808.8
12/1/2018,524626,812.7
1/1/2019,523358,816.2
2/1/2019,522840,813.7
3/1/2019,523775,816.9
4/1/2019,529221,811
5/1/2019,534709,812.2
6/1/2019,546858,815.6
7/1/2019,559252,817.5
8/1/2019,566877,824.7
9/1/2019,571274,825.8
10/1/2019,575523,828.6
11/1/2019,587932,830.7
12/1/2019,594372,828.2
1/1/2020,608167,828.4
2/1/2020,618838,837.2
3/1/2020,626300,833.5
4/1/2020,604385,708.4
5/1/2020,592258,773.6
6/1/2020,599178,793.6
7/1/2020,619700,803.1
8/1/2020,650683,810
9/1/2020,672246,818.9
10/1/2020,693884,827.2
11/1/2020,712739,828
12/1/2020,734722,837.6
1/1/2021,758072,842.5
2/1/2021,752846,846.2
3/1/2021,767906,858
4/1/2021,776420,854.3
5/1/2021,788956,855.8
6/1/2021,801854,857.8
7/1/2021,816412,867.2
8/1/2021,822881,873.6
9/1/2021,828998,879.9
10/1/2021,838559,882.8
11/1/2021,862744,889.2
12/1/2021,891046,896.4
1/1/2022,922478,902.9
2/1/2022,941637,910.6
3/1/2022,959067,913.6
4/1/2022,975266,918.3
5/1/2022,979044,925.1
6/1/2022,965400,921.4
7/1/2022,939588,924.1
8/1/2022,917150,924.5
9/1/2022,900993,924.6
10/1/2022,887097,929.5
11/1/2022,874829,929
12/1/2022,863102,934.3
1/1/2023,865778,935.8
2/1/2023,857211,931.7
3/1/2023,856947,931.6
4/1/2023,834713,928.1
5/1/2023,864027,927.8
6/1/2023,870655,929.5
7/1/2023,884675,922.6
8/1/2023,889803,926.4
,,933.1
